場址編號,場址名稱,主管機關,鄉鎮市區,場址面積,改善整治進度百分比,列管狀態,_partial_score,_partial_rank
H16429,台灣中油股份有限公司煉製事業部桃園煉油廠,桃園市,龜山區,55921.0,90%,公告為控制場址,14.0,1
H10047,新屋鄉台15線53公里500公尺處,桃園市,新屋區,17883.0,90%,公告為控制場址,14.0,1
H16339,中壢工業區中工段81、80、139、140地號等4筆地號土地部分區域為地下水污染控制場址,桃園市,中壢區,21257.65,90%,公告為控制場址,14.0,1
H16370,連盟興業股份有限公司,桃園市,八德區,6477.6,90%,公告為控制場址,14.0,1
F10330,麗正國際科技股份有限公司,新北市,土城區,4620.49,95%,公告為控制場址,13.5,5
B11337,臺中市潭子區工區段169地號,臺中市,潭子區,4127.53,95%,公告為控制場址,13.5,5
D10655,希世比能源科技股份有限公司,臺南市,官田區,8622.0,80%,公告為控制場址,13.0,7
E10155,台灣中油股份有限公司煉製事業部高雄煉油廠工廠區,高雄市,楠梓區,1032876.0,80%,公告為控制場址,13.0,7
F10207,原志和實業股份有限公司,新北市,樹林區,5559.94,80%,公告為控制場址,13.0,7
J10142,旭德科技股份有限公司,新竹縣,湖口鄉,8315.0,80%,公告為控制場址,13.0,7
H15297,桃園市中壢區內壢段3734、3734-1等2筆地號,桃園市,中壢區,9560.0,80%,公告為控制場址,13.0,7
J10213,南港輪胎股份有限公司新豐廠,新竹縣,新豐鄉,166777.79,80%,公告為控制場址,13.0,7
H10024,欣榮建業股份有限公司所有原欣榮鋼鐵股份有限公司工廠用地,桃園市,中壢區,23333.0,80%,公告為控制場址,13.0,7
D10336,臺南市安定區安定段2087-0000、2088-0000、2089-0000地號,臺南市,安定區,6664.0,80%,公告為控制場址,13.0,7
H14311,中壢工業區中工段81、80、139、140地號等4筆地號土地部分區域為地下水污染控制場址,桃園市,中壢區,21257.65,80%,公告為控制場址,13.0,7
H12838,華通電腦股份有限公司一廠,桃園市,蘆竹區,37517.0,70%,公告為控制場址,12.0,16
B12094,金田機械股份有限公司,臺中市,大里區,11494.58,70%,公告為控制場址,12.0,16
H13351,揚堡實業有限公司觀音廠,桃園市,觀音區,1179.83,90%,公告為控制場址,12.0,16
D10409,南區鹽埕段3036-0053地號,臺南市,南區,1002.0,90%,公告為控制場址,12.0,16
H16354,虹冠實業股份有限公司,桃園市,大園區,4314.0,80%,公告為控制場址,12.0,16
H16384,新通企業行,桃園市,平鎮區,2333.72,90%,公告為控制場址,12.0,16
J10117,新竹縣新豐鄉松柏段0936、0937、0938、0939及0940地號,新竹縣,新豐鄉,20503.12,70%,公告為控制場址,12.0,16
P10499,台灣塑膠股份有限公司麥寮廠氯乙烯廠,雲林縣,麥寮鄉,133000.0,70%,公告為控制場址,12.0,16
F10335,新海加油站,新北市,板橋區,1273.0,90%,公告為控制場址,12.0,16
A00675,東南汽車客運股份有限公司內湖站停車場,臺北市,內湖區,2778.87,90%,公告為控制場址,12.0,16
H10281,全峰工業股份有限公司(桃園廠),桃園市,大園區,3600.0,70%,公告為控制場址,11.0,26
F10312,新莊區民安段431地號,新北市,新莊區,1077.85,80%,公告為控制場址,11.0,26
D10717,永芳鐵鍊五金工廠股份有限公司,臺南市,歸仁區,21440.22,60%,公告為控制場址,11.0,26
H14200,廣明實業股份有限公司,桃園市,蘆竹區,52668.0,60%,公告為控制場址,11.0,26
E10552,台灣中油股份有限公司煉製事業部大林煉油廠C區第九、十、十一蒸餾工場,高雄市,小港區,42991.0,60%,公告為控制場址,11.0,26
T10332,屏東縣枋寮鄉屏南段60-1、61、61-1、62-1、89-1、90、91-1、94-2地號,屏東縣,枋寮鄉,9926.0,60%,公告為控制場址,11.0,26
S00029,台灣氯乙烯工業股份有限公司林園廠,高雄市,林園區,63319.0,60%,公告為控制場址,11.0,26
B10043,臺中市潭子區工區段0216-0000地號為地下水污染控制場址,臺中市,潭子區,7312.33,60%,公告為控制場址,11.0,26
B11334,臺中市潭子區工區段183地號,臺中市,潭子區,6519.98,60%,公告為控制場址,11.0,26
B11336,臺中市潭子區工區段192地號,臺中市,潭子區,6536.52,60%,公告為控制場址,11.0,26
K10271,康普材料科技股份有限公司頭份廠,苗栗縣,頭份市,19061.2,60%,公告為控制場址,11.0,26
W00251,金門酒廠實業股份有限公司自用加油站污染控制場址,金門縣,金城鎮,37392.0,60%,公告為控制場址,11.0,26
F10414,群龍工業有限公司,新北市,新莊區,141.92,90%,公告為控制場址,10.5,38
F10412,永灃工業股份有限公司,新北市,五股區,207.39,90%,公告為控制場址,10.5,38
K10128,頭份市光華段1455地號土地(力有興業股份有限公司),苗栗縣,頭份市,812.61,90%,公告為控制場址,10.5,38
B12716,宏悅工業有限公司,臺中市,大里區,697.68,90%,公告為控制場址,10.5,38
B11893,臺中市后里區金城段河川地R5-1(部分-8),臺中市,后里區,1399.68,70%,公告為控制場址,10.0,42
B11890,臺中市后里區金城段河川地R5-1(部分-5),臺中市,后里區,1378.66,70%,公告為控制場址,10.0,42
B11889,臺中市后里區金城段河川地R5-1(部分-4),臺中市,后里區,1034.93,70%,公告為控制場址,10.0,42
C10084,台灣中油股份有限公司油品行銷事業部基隆營業處-石門供油中心(八堵庫區),基隆市,七堵區,6566.96,50%,公告為控制場址,10.0,42
J10102,全興避震器股份有限公司,新竹縣,湖口鄉,13727.0,50%,公告為控制場址,10.0,42
B11887,臺中市后里區金城段河川地R5-1(部分-2),臺中市,后里區,1556.01,70%,公告為控制場址,10.0,42
B11339,臺中市潭子區工區段198地號,臺中市,潭子區,4518.12,60%,公告為控制場址,10.0,42
D10654,富億實業廠有限公司,臺南市,歸仁區,7408.0,50%,公告為控制場址,10.0,42
E10141,苓雅區意誠里新光社區(意誠段776地號等49筆土地)場址,高雄市,苓雅區,11313.0,50%,公告為控制場址,10.0,42
T10274,屏東縣內埔鄉科大段434、435、511地號,屏東縣,內埔鄉,7042.0,50%,公告為控制場址,10.0,42
B11688,大立光電股份有限公司二廠,臺中市,南屯區,2109.0,70%,公告為控制場址,10.0,42
H12837,台全電機股份有限公司,桃園市,龍潭區,82460.46,50%,公告為控制場址,10.0,42
B11772,臺中市南屯區文山段212地號,臺中市,南屯區,2402.0,70%,公告為控制場址,10.0,42
